map,population_deviation
000372500,0.017100
000375000,0.017600
000377500,0.017800
000380000,0.016300
000382500,0.019300
000385000,0.017800
000387500,0.019200
000390000,0.018000
000392500,0.016700
000395000,0.015400
000397500,0.012600
000400000,0.018200
000402500,0.019000
000405000,0.018200
000407500,0.013800
000410000,0.016900
000412500,0.018300
000415000,0.014300
000417500,0.019100
000420000,0.018600
000422500,0.016300
000425000,0.017300
000427500,0.017700
000430000,0.015700
000432500,0.014300
000435000,0.016900
000437500,0.018800
000440000,0.018500
000442500,0.019400
000445000,0.016700
000447500,0.016800
000450000,0.016700
000452500,0.018800
000455000,0.018500
000457500,0.019500
000460000,0.014400
000462500,0.015200
000465000,0.018900
000467500,0.018400
000470000,0.016600
000472500,0.018100
000475000,0.018300
000477500,0.019400
000480000,0.016300
000482500,0.019000
000485000,0.018000
000487500,0.016700
000490000,0.019400
000492500,0.018600
000495000,0.015500
000497500,0.014500
000500000,0.017500
000502500,0.016100
000505000,0.018200
000507500,0.016300
000510000,0.017800
000512500,0.016900
000515000,0.017600
000517500,0.018900
000520000,0.017300
000522500,0.017300
000525000,0.018400
000527500,0.016900
000530000,0.015100
000532500,0.017000
000535000,0.019700
000537500,0.017100
000540000,0.018900
000542500,0.017200
000545000,0.019200
000547500,0.019400
000550000,0.018000
000552500,0.018500
000555000,0.017600
000557500,0.018400
000560000,0.017000
000562500,0.017100
000565000,0.016200
000567500,0.011800
000570000,0.017200
000572500,0.015000
000575000,0.017500
000577500,0.018200
000580000,0.015200
000582500,0.016300
000585000,0.020000
000587500,0.017100
000590000,0.017400
000592500,0.017700
000595000,0.017800
000597500,0.019300
000600000,0.018900
000602500,0.016600
000605000,0.018900
000607500,0.014400
000610000,0.016700
000612500,0.019500
000615000,0.018100
000617500,0.016300
000620000,0.019300
000622500,0.017400
000625000,0.017100
000627500,0.015500
000630000,0.018800
000632500,0.018100
000635000,0.018000
000637500,0.018600
000640000,0.018700
000642500,0.019000
000645000,0.019100
000647500,0.018100
000650000,0.016400
000652500,0.019200
000655000,0.014300
000657500,0.017000
000660000,0.017500
000662500,0.019100
000665000,0.017500
000667500,0.017900
000670000,0.018000
000672500,0.015300
000675000,0.017800
000677500,0.018100
000680000,0.018400
000682500,0.018600
000685000,0.016900
000687500,0.017700
000690000,0.019200
000692500,0.019000
000695000,0.017800
000697500,0.016500
000700000,0.018400
000702500,0.016900
000705000,0.015300
000707500,0.019400
000710000,0.017100
000712500,0.014600
000715000,0.015800
000717500,0.018000
000720000,0.018700
000722500,0.019800
000725000,0.017900
000727500,0.016000
000730000,0.019900
000732500,0.017500
000735000,0.016600
000737500,0.017900
000740000,0.019000
000742500,0.018400
000745000,0.016700
000747500,0.017400
000750000,0.016400
000752500,0.019300
000755000,0.018800
000757500,0.015200
000760000,0.018100
000762500,0.016600
000765000,0.017400
000767500,0.017400
000770000,0.018400
000772500,0.017700
000775000,0.018600
000777500,0.017800
000780000,0.016500
000782500,0.019300
000785000,0.016200
000787500,0.017200
000790000,0.016100
000792500,0.018500
000795000,0.017600
000797500,0.018500
000800000,0.016700
000802500,0.017500
000805000,0.018500
000807500,0.018800
000810000,0.019600
000812500,0.017800
000815000,0.016900
000817500,0.017700
000820000,0.019000
000822500,0.018100
000825000,0.017500
000827500,0.018100
000830000,0.018300
000832500,0.017200
000835000,0.017500
000837500,0.018700
000840000,0.017800
000842500,0.019000
000845000,0.017500
000847500,0.019100
000850000,0.016800
000852500,0.015800
000855000,0.019100
000857500,0.018900
000860000,0.019200
000862500,0.015200
000865000,0.019100
000867500,0.017400
000870000,0.015100
000872500,0.016700
000875000,0.019200
000877500,0.018600
000880000,0.019000
000882500,0.016900
000885000,0.019600
000887500,0.019400
000890000,0.017500
000892500,0.017500
000895000,0.015500
000897500,0.017900
000900000,0.015500
000902500,0.018900
000905000,0.017900
000907500,0.018600
000910000,0.019000
000912500,0.015100
000915000,0.016000
000917500,0.019000
000920000,0.016600
000922500,0.019400
000925000,0.012000
000927500,0.017300
000930000,0.013800
000932500,0.018600
000935000,0.016600
000937500,0.017800
000940000,0.018400
000942500,0.020000
000945000,0.019100
000947500,0.015200
000950000,0.017800
000952500,0.015800
000955000,0.016000
000957500,0.016600
000960000,0.019300
000962500,0.017200
000965000,0.018700
000967500,0.011400
000970000,0.016600
000972500,0.016100
000975000,0.019500
000977500,0.018700
000980000,0.014500
000982500,0.018800
000985000,0.019100
000987500,0.017700
000990000,0.017800
000992500,0.017500
000995000,0.016500
000997500,0.017300
001000000,0.018600
001002500,0.014900
001005000,0.017200
001007500,0.016100
001010000,0.016800
001012500,0.018400
001015000,0.018700
001017500,0.019700
001020000,0.017200
001022500,0.018900
001025000,0.016400
001027500,0.018700
001030000,0.018000
001032500,0.016800
001035000,0.017500
001037500,0.013000
001040000,0.016900
001042500,0.018300
001045000,0.015400
001047500,0.018500
001050000,0.017500
001052500,0.015600
001055000,0.018100
001057500,0.015300
001060000,0.014200
001062500,0.018500
001065000,0.019900
001067500,0.018000
001070000,0.016900
001072500,0.017500
001075000,0.016700
001077500,0.019000
001080000,0.015900
001082500,0.017900
001085000,0.016500
001087500,0.017300
001090000,0.018400
001092500,0.018900
001095000,0.019000
001097500,0.019000
001100000,0.019200
001102500,0.017200
001105000,0.019000
001107500,0.016200
001110000,0.018100
001112500,0.018900
001115000,0.019500
001117500,0.018700
001120000,0.019100
001122500,0.017100
001125000,0.018400
001127500,0.015900
001130000,0.018100
001132500,0.019500
001135000,0.018900
001137500,0.019000
001140000,0.016100
001142500,0.017000
001145000,0.019200
001147500,0.014600
001150000,0.015300
001152500,0.016600
001155000,0.018300
001157500,0.017100
001160000,0.017600
001162500,0.017700
001165000,0.017500
001167500,0.019300
001170000,0.017700
001172500,0.019300
001175000,0.019400
001177500,0.019700
001180000,0.019100
001182500,0.019500
001185000,0.015000
001187500,0.019100
001190000,0.018700
001192500,0.018600
001195000,0.018200
001197500,0.018800
001200000,0.019100
001202500,0.015100
001205000,0.017200
001207500,0.017700
001210000,0.017900
001212500,0.017700
001215000,0.019600
001217500,0.018300
001220000,0.017900
001222500,0.018600
001225000,0.019100
001227500,0.019300
001230000,0.019400
001232500,0.016400
001235000,0.018900
001237500,0.020000
001240000,0.016700
001242500,0.019100
001245000,0.017900
001247500,0.015300
001250000,0.017700
001252500,0.019200
001255000,0.017400
001257500,0.016000
001260000,0.018000
001262500,0.018200
001265000,0.018100
001267500,0.014300
001270000,0.018000
001272500,0.017400
001275000,0.019400
001277500,0.016000
001280000,0.019000
001282500,0.016300
001285000,0.017600
001287500,0.018000
001290000,0.017100
001292500,0.017000
001295000,0.017700
001297500,0.017500
001300000,0.019400
001302500,0.016800
001305000,0.018800
001307500,0.019900
001310000,0.018800
001312500,0.018400
001315000,0.015700
001317500,0.019800
001320000,0.014300
001322500,0.018200
001325000,0.018900
001327500,0.014300
001330000,0.019500
001332500,0.019400
001335000,0.017600
001337500,0.017800
001340000,0.015600
001342500,0.018500
001345000,0.019200
001347500,0.018100
001350000,0.016900
001352500,0.017700
001355000,0.018600
001357500,0.017700
001360000,0.019300
001362500,0.017500
001365000,0.018900
001367500,0.017100
001370000,0.016800
001372500,0.017200
001375000,0.015500
001377500,0.017700
001380000,0.017100
001382500,0.018400
001385000,0.016000
001387500,0.016300
001390000,0.018200
001392500,0.018000
001395000,0.017400
001397500,0.016400
001400000,0.017600
001402500,0.018700
001405000,0.019100
001407500,0.013100
001410000,0.019600
001412500,0.019900
001415000,0.016300
001417500,0.019300
001420000,0.019600
001422500,0.017600
001425000,0.014600
001427500,0.019600
001430000,0.013700
001432500,0.018800
001435000,0.018200
001437500,0.019500
001440000,0.016800
001442500,0.017500
001445000,0.016400
001447500,0.017400
001450000,0.015600
001452500,0.016500
001455000,0.018800
001457500,0.014400
001460000,0.018800
001462500,0.018800
001465000,0.017300
001467500,0.017500
001470000,0.016500
001472500,0.018400
001475000,0.017200
001477500,0.018800
001480000,0.016200
001482500,0.017700
001485000,0.015700
001487500,0.014900
001490000,0.017400
001492500,0.016100
001495000,0.017700
001497500,0.019200
001500000,0.017400
001502500,0.013500
001505000,0.016400
001507500,0.018600
001510000,0.016900
001512500,0.017600
001515000,0.019400
001517500,0.014900
001520000,0.018500
001522500,0.016400
001525000,0.019300
001527500,0.019500
001530000,0.018300
001532500,0.017800
001535000,0.018600
001537500,0.019900
001540000,0.018300
001542500,0.018800
001545000,0.016800
001547500,0.018600
001550000,0.015300
001552500,0.018700
001555000,0.019200
001557500,0.017600
001560000,0.017200
001562500,0.018700
001565000,0.018300
001567500,0.018100
001570000,0.015700
001572500,0.018300
001575000,0.017800
001577500,0.017800
001580000,0.019700
001582500,0.015700
001585000,0.018100
001587500,0.015200
001590000,0.017800
001592500,0.017400
001595000,0.017100
001597500,0.019100
001600000,0.017300
001602500,0.018700
001605000,0.014700
001607500,0.018300
001610000,0.015000
001612500,0.017300
001615000,0.016600
001617500,0.017600
001620000,0.015900
001622500,0.018100
001625000,0.019400
001627500,0.018100
001630000,0.015900
001632500,0.015300
001635000,0.017400
001637500,0.015900
001640000,0.017400
001642500,0.016500
001645000,0.019800
001647500,0.017100
001650000,0.017700
001652500,0.018100
001655000,0.016500
001657500,0.014700
001660000,0.014800
001662500,0.015600
001665000,0.014500
001667500,0.017400
001670000,0.019800
001672500,0.019200
001675000,0.014000
001677500,0.019500
001680000,0.019500
001682500,0.015600
001685000,0.018200
001687500,0.013800
001690000,0.016600
001692500,0.018700
001695000,0.016300
001697500,0.019600
001700000,0.017100
001702500,0.016100
001705000,0.017400
001707500,0.016700
001710000,0.019500
001712500,0.019200
001715000,0.019400
001717500,0.017800
001720000,0.015300
001722500,0.016600
001725000,0.018300
001727500,0.019600
001730000,0.019500
001732500,0.019500
001735000,0.018300
001737500,0.018300
001740000,0.014600
001742500,0.017100
001745000,0.017200
001747500,0.016800
001750000,0.018300
001752500,0.018300
001755000,0.018900
001757500,0.018800
001760000,0.017600
001762500,0.016200
001765000,0.018000
001767500,0.017800
001770000,0.017200
001772500,0.017300
001775000,0.017800
001777500,0.016700
001780000,0.014000
001782500,0.018800
001785000,0.017200
001787500,0.019300
001790000,0.018400
001792500,0.018400
001795000,0.016700
001797500,0.019100
001800000,0.017500
001802500,0.019400
001805000,0.018300
001807500,0.016900
001810000,0.016200
001812500,0.019700
001815000,0.018500
001817500,0.015500
001820000,0.017100
001822500,0.017200
001825000,0.017500
001827500,0.018100
001830000,0.017600
001832500,0.019400
001835000,0.018300
001837500,0.019300
001840000,0.017000
001842500,0.017600
001845000,0.018300
001847500,0.014800
001850000,0.018500
001852500,0.014300
001855000,0.016100
001857500,0.016700
001860000,0.018800
001862500,0.017500
001865000,0.016200
001867500,0.015900
001870000,0.019400
001872500,0.019600
001875000,0.013900
001877500,0.017000
001880000,0.017800
001882500,0.018200
001885000,0.017800
001887500,0.014100
001890000,0.016800
001892500,0.018400
001895000,0.016700
001897500,0.018400
001900000,0.018000
001902500,0.018500
001905000,0.019700
001907500,0.019000
001910000,0.018400
001912500,0.018100
001915000,0.018200
001917500,0.019400
001920000,0.015600
001922500,0.013900
001925000,0.017300
001927500,0.017300
001930000,0.017700
001932500,0.014800
001935000,0.018700
001937500,0.019500
001940000,0.016600
001942500,0.016200
001945000,0.018300
001947500,0.017000
001950000,0.017000
001952500,0.018400
001955000,0.017700
001957500,0.018100
001960000,0.017800
001962500,0.017400
001965000,0.019200
001967500,0.019100
001970000,0.018600
001972500,0.017600
001975000,0.018700
001977500,0.018300
001980000,0.017700
001982500,0.018000
001985000,0.019100
001987500,0.016600
001990000,0.019200
001992500,0.018900
001995000,0.019600
001997500,0.018400
002000000,0.018500
002002500,0.016500
002005000,0.018500
002007500,0.014600
002010000,0.013200
002012500,0.017000
002015000,0.019000
002017500,0.014700
002020000,0.018000
002022500,0.017600
002025000,0.018700
002027500,0.018000
002030000,0.015300
002032500,0.016800
002035000,0.018500
002037500,0.014900
002040000,0.014800
002042500,0.017000
002045000,0.019400
002047500,0.011900
002050000,0.018700
002052500,0.015900
002055000,0.018700
002057500,0.017300
002060000,0.019500
002062500,0.019200
002065000,0.019100
002067500,0.016700
002070000,0.016000
002072500,0.017900
002075000,0.019200
002077500,0.018100
002080000,0.015500
002082500,0.015800
002085000,0.018800
002087500,0.015200
002090000,0.019100
002092500,0.017200
002095000,0.019200
002097500,0.019000
002100000,0.016200
002102500,0.016900
002105000,0.019100
002107500,0.018200
002110000,0.019300
002112500,0.018400
002115000,0.018300
002117500,0.018100
002120000,0.017100
002122500,0.018500
002125000,0.018600
002127500,0.016300
002130000,0.016600
002132500,0.018800
002135000,0.016200
002137500,0.017700
002140000,0.019700
002142500,0.018100
002145000,0.018000
002147500,0.019200
002150000,0.019500
002152500,0.014900
002155000,0.018300
002157500,0.017700
002160000,0.014900
002162500,0.018500
002165000,0.019000
002167500,0.018500
002170000,0.016400
002172500,0.017400
002175000,0.015400
002177500,0.019300
002180000,0.015000
002182500,0.019500
002185000,0.018400
002187500,0.016300
002190000,0.019600
002192500,0.015500
002195000,0.019500
002197500,0.018000
002200000,0.018300
002202500,0.017200
002205000,0.017900
002207500,0.017600
002210000,0.018000
002212500,0.019500
002215000,0.018000
002217500,0.016500
002220000,0.018000
002222500,0.019100
002225000,0.018900
002227500,0.019400
002230000,0.017800
002232500,0.014200
002235000,0.018600
002237500,0.018600
002240000,0.016100
002242500,0.017800
002245000,0.017300
002247500,0.019700
002250000,0.018300
002252500,0.019400
002255000,0.018600
002257500,0.018300
002260000,0.018900
002262500,0.016300
002265000,0.018300
002267500,0.017800
002270000,0.016500
002272500,0.018300
002275000,0.017900
002277500,0.018500
002280000,0.014400
002282500,0.015200
002285000,0.018300
002287500,0.017200
002290000,0.018000
002292500,0.019600
002295000,0.019000
002297500,0.018500
002300000,0.017100
002302500,0.019800
002305000,0.017300
002307500,0.019800
002310000,0.018300
002312500,0.019100
002315000,0.014800
002317500,0.016300
002320000,0.019700
002322500,0.017800
002325000,0.016200
002327500,0.016000
002330000,0.018000
002332500,0.018200
002335000,0.017200
002337500,0.017300
002340000,0.019500
002342500,0.019300
002345000,0.014900
002347500,0.018200
002350000,0.018400
002352500,0.019300
002355000,0.016000
002357500,0.018500
002360000,0.019100
002362500,0.019000
002365000,0.018000
002367500,0.017500
002370000,0.018600
002372500,0.017400
002375000,0.019400
002377500,0.019200
002380000,0.018500
002382500,0.017600
002385000,0.016200
002387500,0.018300
002390000,0.015200
002392500,0.017100
002395000,0.019600
002397500,0.018700
002400000,0.017800
002402500,0.016500
002405000,0.017600
002407500,0.019100
002410000,0.017200
002412500,0.019100
002415000,0.017900
002417500,0.015800
002420000,0.015900
002422500,0.017400
002425000,0.017400
002427500,0.016100
002430000,0.017400
002432500,0.019000
002435000,0.017200
002437500,0.018400
002440000,0.018100
002442500,0.016300
002445000,0.016300
002447500,0.018300
002450000,0.018600
002452500,0.016100
002455000,0.017100
002457500,0.018400
002460000,0.016800
002462500,0.013400
002465000,0.019700
002467500,0.017700
002470000,0.016900
002472500,0.016400
002475000,0.017100
002477500,0.019600
002480000,0.016100
002482500,0.017400
002485000,0.017900
002487500,0.018300
002490000,0.019300
002492500,0.017100
002495000,0.015200
002497500,0.019200
002500000,0.018600
