map,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt
000445000,0.000000,5,7.600600,5,50,1.076700,8.465100,61
000447500,0.000000,5,5.869100,5,50,1.306000,8.033800,63
000450000,0.000000,5,6.781000,5,50,0.900900,8.529600,59
000452500,0.753100,5,7.497900,5,58,1.015500,8.764000,60
000455000,0.000000,5,8.278400,5,50,0.420400,9.113000,54
000457500,0.000000,5,6.617800,5,50,1.118600,8.325800,61
000460000,0.778800,5,5.932700,5,58,1.335400,8.239900,64
000462500,0.000000,5,7.271900,5,50,0.540200,8.747900,56
000465000,0.000000,5,5.912000,5,50,1.237800,7.759200,62
000467500,0.000000,5,6.898500,5,50,1.016000,7.829100,60
000470000,0.000000,5,7.763400,5,50,1.104200,8.744000,61
000472500,0.000000,5,7.657600,5,50,1.307100,8.387900,63
000475000,0.711900,5,7.348300,5,57,1.193900,8.570900,62
000477500,0.000000,5,8.200700,5,50,1.047000,8.932400,60
000480000,0.920200,5,6.759200,5,59,1.781500,7.890300,68
000482500,0.000000,5,8.370400,5,50,0.688700,9.145100,57
000485000,0.788700,5,7.342900,5,58,1.138900,8.271200,62
000487500,0.758400,5,7.475100,5,58,1.423600,8.071700,64
000490000,0.000000,5,6.886000,5,50,1.250600,8.356400,62
000492500,0.906900,5,7.172900,5,59,1.172500,8.793500,62
000495000,0.000000,5,7.914500,5,50,0.830800,8.192400,58
000497500,0.000000,5,8.619100,5,50,0.711200,8.864400,57
000500000,0.000000,5,7.493100,5,50,1.531000,8.199800,66
000502500,0.000000,5,6.584600,5,50,0.859200,8.324900,58
000505000,0.000000,5,8.520300,5,50,0.850700,9.110600,58
000507500,0.000000,5,8.561100,5,50,0.525700,8.714300,56
000510000,0.783800,5,4.873500,5,56,1.646000,7.783300,66
000512500,0.000000,5,7.543800,5,50,0.582300,9.013700,56
000515000,0.000000,5,7.577800,5,50,0.840500,8.314800,58
000517500,0.000000,5,7.518000,5,50,0.878100,8.414500,59
000520000,0.000000,5,7.417900,5,50,0.606300,9.505200,56
000522500,0.000000,5,7.736900,5,50,1.555100,8.530000,66
000525000,0.000000,5,5.693400,5,50,1.113400,8.237200,61
000527500,0.722500,5,7.281000,5,57,1.073200,8.538500,60
000530000,0.000000,5,7.636600,5,50,0.604500,8.441600,56
000532500,0.825400,5,6.514900,5,58,1.703200,8.503100,67
000535000,0.000000,5,7.432400,5,50,1.131000,8.210000,62
000537500,0.000000,5,6.838700,5,50,0.796100,8.262100,58
000540000,0.000000,5,7.385600,5,50,0.985900,8.116000,60
000542500,0.876500,5,8.172500,5,59,1.119400,8.558600,61
000545000,0.707600,5,7.704600,5,57,1.088500,8.424600,61
000547500,0.000000,5,7.114600,5,50,1.371900,7.870000,64
000550000,0.000000,5,7.511300,5,50,0.743700,8.410900,58
000552500,0.000000,5,7.468800,5,50,0.575500,9.190500,56
000555000,0.930100,5,6.768500,5,60,1.451600,8.237300,64
000557500,0.000000,5,8.421000,5,50,0.914900,8.796700,59
000560000,0.000000,5,8.314400,5,50,0.764300,9.051100,58
000562500,0.000000,5,7.437500,5,50,0.342400,9.081700,54
000565000,0.000000,5,8.587000,5,50,0.574300,8.992500,56
000567500,0.737800,5,5.974400,5,58,1.741300,7.621000,68
000570000,0.000000,5,6.779200,5,50,0.882400,8.681000,59
000572500,0.719200,5,6.617800,5,57,1.144300,8.239400,62
000575000,0.000000,5,7.588400,5,50,0.473600,8.680500,54
000577500,0.000000,5,8.380100,5,50,0.934000,9.260900,60
000580000,0.000000,5,8.347300,5,50,0.682800,8.618100,57
000582500,0.000000,5,5.763600,5,50,0.864500,8.548000,58
000585000,0.000000,5,7.936900,5,50,1.328900,8.119300,64
000587500,0.000000,5,7.490000,5,50,0.847400,8.318600,58
000590000,0.000000,5,7.535400,5,50,0.903600,8.445400,59
000592500,0.000000,5,5.722300,5,50,0.856600,8.896500,58
000595000,1.559200,5,4.932000,5,65,1.659700,7.463600,66
000597500,0.000000,5,8.458800,5,50,0.640600,9.108300,56
000600000,0.000000,5,7.542300,5,50,0.496600,8.801400,55
000602500,0.000000,5,6.740700,5,50,1.237800,8.139600,62
000605000,0.000000,5,7.475900,5,50,0.923200,8.502000,59
000607500,0.722400,5,5.910700,5,57,1.177600,8.458400,62
000610000,0.000000,5,8.173400,5,50,0.734900,8.291500,58
000612500,0.000000,5,6.662500,5,50,0.781300,7.762800,58
000615000,0.000000,5,7.526400,5,50,0.723900,9.134300,57
000617500,0.000000,5,6.750400,5,50,0.766600,8.016800,58
000620000,0.000000,5,7.558500,5,50,0.853200,8.137800,58
000622500,0.000000,5,7.526000,5,50,0.991700,8.315200,60
000625000,0.000000,5,8.316000,5,50,1.160300,8.440400,62
000627500,0.000000,5,6.675900,5,50,1.009700,8.591200,60
000630000,0.000000,5,8.482100,5,50,0.740800,8.630400,58
000632500,0.000000,5,6.795000,5,50,1.172000,7.800200,62
000635000,0.000000,5,8.393400,5,50,0.659500,8.766900,56
000637500,0.000000,5,7.498300,5,50,1.030600,8.280100,60
000640000,0.000000,5,7.700100,5,50,1.362700,8.007100,64
000642500,0.000000,5,9.426900,5,50,0.668000,9.879200,56
000645000,0.000000,5,7.857200,5,50,0.939100,8.436400,60
000647500,0.000000,5,7.580800,5,50,0.534700,9.124800,56
000650000,0.000000,5,5.784900,5,50,0.522900,8.325200,55
000652500,0.904400,5,6.687300,5,59,1.152500,8.109000,62
000655000,0.000000,5,7.742100,5,50,0.867500,8.426400,58
000657500,0.000000,5,8.177800,5,50,0.698000,8.999100,57
000660000,0.000000,5,7.421400,5,50,0.719100,9.057300,57
000662500,0.721200,5,7.601500,5,57,0.858500,8.593400,58
000665000,0.000000,5,6.806200,5,50,0.937400,8.244900,60
000667500,0.000000,5,7.695000,5,50,0.603200,8.686500,56
000670000,0.000000,5,9.114900,5,50,0.423400,9.639000,54
000672500,0.000000,5,7.802600,5,50,1.277400,8.587400,63
000675000,0.000000,5,5.917500,5,50,0.857600,8.214000,58
000677500,0.880700,5,6.604300,5,59,1.485500,8.089400,65
000680000,0.000000,5,7.604300,5,50,0.584400,8.308800,56
000682500,0.000000,5,8.410000,5,50,0.448800,8.904600,54
000685000,0.000000,5,7.866800,5,50,1.128500,8.184300,62
000687500,0.757400,5,6.573700,5,58,1.215000,8.124000,62
000690000,0.000000,5,6.587500,5,50,1.236200,7.722000,62
000692500,0.000000,5,6.678800,5,50,0.558200,8.454000,56
000695000,0.000000,5,6.505400,5,50,0.890400,8.639300,59
000697500,0.728700,5,5.801900,5,58,1.298800,8.114900,63
000700000,0.000000,5,7.504300,5,50,0.644100,8.416000,56
000702500,0.000000,5,7.315200,5,50,0.964800,8.152100,60
000705000,0.692600,5,6.698600,5,57,1.411600,8.117400,64
000707500,0.000000,5,9.053400,5,50,0.921300,9.262700,59
000710000,0.794300,5,7.668300,5,58,1.312100,8.519900,63
000712500,0.000000,5,7.367200,5,50,0.707700,7.877900,57
000715000,0.802900,5,7.180900,5,58,0.978900,8.708900,60
000717500,0.000000,5,7.331600,5,50,0.774700,8.780700,58
000720000,0.000000,5,7.324700,5,50,1.661500,7.788800,66
000722500,0.000000,5,7.791100,5,50,1.101800,8.188200,61
000725000,0.774300,5,6.525100,5,58,1.278300,8.649200,63
000727500,0.000000,5,8.336300,5,50,0.937900,9.127200,60
000730000,0.000000,5,6.806200,5,50,0.843200,8.392900,58
000732500,0.000000,5,6.654700,5,50,1.001800,8.742800,60
000735000,0.000000,5,7.444500,5,50,1.183400,7.996900,62
000737500,0.000000,5,6.750000,5,50,0.932100,7.991200,60
000740000,0.000000,5,8.534400,5,50,1.047800,8.696200,60
000742500,0.000000,5,8.528500,5,50,1.082500,8.838600,61
000745000,0.000000,5,8.278500,5,50,0.952700,9.064200,60
000747500,0.000000,5,7.400500,5,50,1.213700,7.941500,62
000750000,0.000000,5,7.545700,5,50,0.958300,8.078200,60
000752500,0.000000,5,7.683300,5,50,0.528300,8.103100,56
000755000,0.000000,5,6.854400,5,50,0.773400,8.226800,58
000757500,0.000000,5,7.642700,5,50,0.851400,9.069500,58
000760000,0.000000,5,7.434000,5,50,0.710400,8.708100,57
000762500,0.000000,5,7.716200,5,50,1.435800,7.994800,64
000765000,0.000000,5,8.579100,5,50,0.691900,8.668200,57
000767500,0.000000,5,5.771400,5,50,1.395300,7.817100,64
000770000,0.000000,5,6.715900,5,50,1.407500,8.078400,64
000772500,0.000000,5,6.822900,5,50,0.747600,8.210800,58
000775000,0.000000,5,8.354100,5,50,0.618400,8.722800,56
000777500,0.000000,5,7.484100,5,50,0.814500,8.358800,58
000780000,0.000000,5,8.580100,5,50,0.776100,8.641000,58
000782500,0.782400,5,7.513900,5,58,1.276700,7.996900,63
000785000,0.000000,5,8.215400,5,50,0.719700,8.997200,57
000787500,0.000000,5,8.434300,5,50,1.006800,8.608800,60
000790000,0.000000,5,5.809300,5,50,1.473500,7.339800,64
000792500,0.776500,5,7.591700,5,58,0.940800,8.597400,60
000795000,0.827600,5,6.737500,5,58,1.561400,7.734500,66
000797500,0.000000,5,7.804900,5,50,1.105400,8.180100,61
000800000,0.000000,5,6.660500,5,50,1.448500,7.878800,64
000802500,0.000000,5,7.736700,5,50,0.818600,9.071400,58
000805000,0.000000,5,7.499700,5,50,0.915600,8.719100,59
000807500,0.782400,5,6.802100,5,58,0.957500,8.347800,60
000810000,0.000000,5,8.277700,5,50,0.359900,9.641800,54
000812500,0.000000,5,6.723500,5,50,0.957100,8.237100,60
000815000,0.000000,5,6.705300,5,50,0.977000,8.784500,60
000817500,0.000000,5,7.476300,5,50,1.157800,8.421900,62
000820000,0.000000,5,7.517600,5,50,0.976200,8.637000,60
000822500,0.000000,5,8.374800,5,50,0.446500,8.799200,54
000825000,0.000000,5,7.622900,5,50,0.713800,8.024900,57
000827500,0.727500,5,7.407200,5,58,1.227700,8.236000,62
000830000,0.000000,5,8.569100,5,50,0.662200,9.234600,56
000832500,0.801800,5,8.218300,5,58,0.945900,9.196900,60
000835000,0.811600,5,6.744200,5,58,0.978400,8.220500,60
000837500,1.565300,5,6.635500,5,66,1.780900,7.217200,68
000840000,0.000000,5,7.154900,5,50,1.069900,8.010900,60
000842500,0.720300,5,6.589000,5,57,0.908000,8.395600,59
000845000,0.000000,5,7.439100,5,50,1.619200,8.245900,66
000847500,0.831900,5,5.886800,5,58,1.660900,7.936000,66
000850000,0.000000,5,8.171400,5,50,0.613200,9.022800,56
000852500,0.000000,5,8.376800,5,50,0.775800,8.649800,58
000855000,0.814800,5,6.819600,5,58,1.189200,7.939400,62
000857500,0.000000,5,7.470500,5,50,1.045700,7.975400,60
000860000,0.903500,5,4.922100,5,58,1.673900,7.333200,66
000862500,0.783400,5,7.727300,5,58,0.994100,8.767800,60
000865000,0.000000,5,7.512700,5,50,0.646800,8.607200,56
000867500,0.000000,5,6.628900,5,50,1.142400,8.400800,62
000870000,0.000000,5,8.314000,5,50,0.633300,8.514300,56
000872500,0.000000,5,8.336300,5,50,0.493400,9.201200,55
000875000,0.000000,5,7.755000,5,50,0.943700,8.495300,60
000877500,1.433600,5,5.877700,5,64,1.591400,7.641300,66
000880000,0.806400,5,6.752300,5,58,1.419900,8.124100,64
000882500,0.000000,5,8.488200,5,50,0.735600,9.026600,58
000885000,0.710400,5,6.622100,5,57,1.433100,7.544900,64
000887500,0.000000,5,7.311000,5,50,0.896700,8.058400,59
000890000,0.000000,5,6.813100,5,50,0.817800,8.413400,58
000892500,0.000000,5,6.811300,5,50,0.871100,8.378100,58
000895000,0.000000,5,6.510600,5,50,1.128000,8.018800,62
000897500,0.000000,5,8.848900,5,50,0.341100,9.520200,54
000900000,0.000000,5,7.484800,5,50,0.576400,8.885000,56
000902500,0.872200,5,6.817600,5,58,1.203100,8.351500,62
000905000,0.000000,5,7.866200,5,50,0.962200,8.223200,60
000907500,0.000000,5,7.739100,5,50,0.954200,8.606500,60
000910000,0.753700,5,6.576500,5,58,1.089500,8.773800,61
000912500,0.000000,5,7.553400,5,50,0.574800,8.204100,56
000915000,0.000000,5,7.718000,5,50,0.821400,8.251300,58
000917500,0.000000,5,7.557100,5,50,0.850400,8.802300,58
000920000,0.000000,5,6.516200,5,50,0.945700,8.623200,60
000922500,0.840500,5,6.696900,5,58,1.224800,8.879000,62
000925000,0.000000,5,6.776100,5,50,1.177600,7.781300,62
000927500,0.927400,5,6.733000,5,60,1.078400,8.589400,61
000930000,0.000000,5,6.779000,5,50,0.706000,8.489500,57
000932500,0.000000,5,7.713200,5,50,1.317700,8.557300,63
000935000,0.747900,5,5.657800,5,58,1.570900,8.011800,66
000937500,0.000000,5,7.331800,5,50,1.030900,8.291900,60
000940000,0.000000,5,8.338900,5,50,0.366100,9.058700,54
000942500,0.000000,5,7.632500,5,50,0.971100,8.354800,60
000945000,0.000000,5,6.851500,5,50,0.953800,8.256400,60
000947500,0.764100,5,7.445500,5,58,1.013200,8.433100,60
000950000,0.000000,5,7.558200,5,50,0.642900,8.632900,56
000952500,0.762200,5,7.354500,5,58,0.928500,9.101000,60
000955000,0.000000,5,6.806400,5,50,0.697900,8.348000,57
000957500,1.499100,5,7.221600,5,65,1.733200,7.651300,68
000960000,0.000000,5,7.611800,5,50,1.347700,8.131000,64
000962500,0.000000,5,7.271500,5,50,1.134900,8.146400,62
000965000,0.915800,5,8.323200,5,59,1.333400,8.532700,64
000967500,0.703600,5,6.626300,5,57,1.371100,7.845300,64
000970000,0.000000,5,8.354700,5,50,0.933700,8.554800,60
000972500,0.732100,5,7.624900,5,58,0.938500,8.608000,60
000975000,0.000000,5,7.574000,5,50,0.922500,8.390500,59
000977500,0.743500,5,7.203600,5,58,1.417300,8.107100,64
000980000,0.000000,5,8.446500,5,50,0.465800,9.441300,54
000982500,0.000000,5,8.571600,5,50,1.074300,8.785200,60
000985000,0.828100,5,6.499700,5,58,1.195400,7.997400,62
000987500,0.000000,5,9.091700,5,50,0.747800,9.276100,58
000990000,0.000000,5,7.625600,5,50,0.929500,8.597700,60
000992500,0.733700,5,7.542800,5,58,1.670100,8.347700,66
000995000,0.000000,5,7.455500,5,50,0.728600,9.002900,58
000997500,0.703200,5,8.170300,5,57,1.351000,8.749700,64
001000000,0.787500,5,6.717800,5,58,1.625200,7.669600,66
001002500,0.000000,5,6.914100,5,50,1.131600,8.096800,62
001005000,0.000000,5,5.941300,5,50,1.054500,8.050900,60
001007500,0.000000,5,6.725800,5,50,0.961500,8.235600,60
001010000,0.000000,5,6.619400,5,50,0.803000,8.056800,58
001012500,0.709600,5,7.662800,5,57,1.256900,8.155800,62
001015000,0.882200,5,6.850400,5,59,1.158400,8.685100,62
001017500,0.787500,5,6.839600,5,58,1.544300,7.775600,66
001020000,0.000000,5,6.789100,5,50,1.348100,8.645200,64
001022500,0.940400,5,6.927200,5,60,1.548600,7.705900,66
001025000,0.824400,5,6.759300,5,58,1.342300,7.738500,64
001027500,0.000000,5,5.914700,5,50,0.974900,7.898100,60
001030000,0.000000,5,7.414200,5,50,0.925000,8.432100,59
001032500,0.000000,5,7.479100,5,50,0.695900,8.433700,57
001035000,0.000000,5,7.286400,5,50,1.155400,8.231900,62
001037500,0.000000,5,6.606800,5,50,1.149900,8.202000,62
001040000,0.000000,5,7.379800,5,50,0.809600,8.880800,58
001042500,0.815800,5,6.835800,5,58,1.080100,8.334200,61
001045000,0.000000,5,6.687000,5,50,1.253500,7.445400,62
001047500,0.000000,5,7.566600,5,50,0.809200,9.079300,58
001050000,0.000000,5,8.203400,5,50,0.593200,8.391600,56
001052500,0.000000,5,7.409900,5,50,1.384400,8.152300,64
001055000,0.000000,5,6.798600,5,50,0.739400,8.842100,58
001057500,0.904200,5,7.559100,5,59,1.050300,8.731100,60
001060000,0.000000,5,8.143900,5,50,1.157500,8.196400,62
001062500,0.000000,5,7.425100,5,50,1.138000,8.702000,62
001065000,0.000000,5,7.351200,5,50,0.717200,8.885700,57
001067500,0.000000,5,6.622300,5,50,0.537900,8.469200,56
001070000,0.000000,5,8.465600,5,50,0.548500,8.872100,56
001072500,0.000000,5,7.741300,5,50,0.731000,8.574500,58
001075000,0.729500,5,7.533500,5,58,1.472200,8.033500,64
001077500,0.000000,5,5.783000,5,50,1.523700,7.199000,65
001080000,0.711100,5,7.447800,5,57,1.312600,8.488400,63
001082500,0.000000,5,8.204600,5,50,1.111200,8.710900,61
