map,reock,polsby_popper,cut_score,population_compactness,compactness
001217500,0.357000,0.187500,770,2109873.189300,32
001220000,0.424100,0.185500,705,2073354.141200,46
001222500,0.413800,0.209900,657,2086036.956500,46
001225000,0.341400,0.176400,707,2134172.582300,28
001227500,0.347500,0.172200,757,1983069.850100,28
001230000,0.382600,0.196400,723,2371736.519600,38
001232500,0.435300,0.197800,675,1873054.393300,49
001235000,0.399300,0.182200,723,2047439.407800,40
001237500,0.414500,0.214600,687,1984490.318200,48
001240000,0.385700,0.185600,730,2111134.883000,38
001242500,0.418400,0.212500,681,1959930.625300,48
001245000,0.332400,0.181100,740,2351692.074600,26
001247500,0.425100,0.231800,667,1940272.382800,52
001250000,0.382800,0.196500,680,1967053.374500,38
001252500,0.380900,0.171000,712,2225666.039200,35
001255000,0.391800,0.181200,737,1772074.641500,38
001257500,0.378200,0.175700,812,2144877.168000,35
001260000,0.388700,0.188200,688,1802186.051100,38
001262500,0.393500,0.199500,741,2138571.769500,41
001265000,0.387600,0.184300,783,2267280.509100,38
001267500,0.340100,0.184900,756,2012965.340000,28
001270000,0.384700,0.182100,739,2516665.525200,38
001272500,0.355600,0.165300,743,2424572.435000,29
001275000,0.334300,0.166900,762,2166940.564900,26
001277500,0.411800,0.200900,734,2027750.913600,45
001280000,0.371800,0.165600,796,1987109.038700,32
001282500,0.404000,0.218100,660,1946354.607900,46
001285000,0.388400,0.192200,727,2088757.987600,39
001287500,0.354300,0.179300,732,2179035.842700,31
001290000,0.421900,0.205900,672,1784636.027400,48
001292500,0.443400,0.207300,683,1982211.085200,52
001295000,0.396600,0.177000,770,2120326.491100,39
001297500,0.386700,0.182500,719,1932726.958000,38
001300000,0.386900,0.183300,710,1904159.667500,38
001302500,0.383200,0.205800,695,1893809.230400,40
001305000,0.345700,0.175100,724,1876445.636400,28
001307500,0.402200,0.197200,719,1979251.173000,42
001310000,0.388900,0.206500,695,2106679.354300,42
001312500,0.350200,0.165300,722,2297654.351400,28
001315000,0.338200,0.172500,805,2200932.326100,26
001317500,0.397000,0.193200,699,2012776.929500,41
001320000,0.352100,0.182100,770,1937700.137800,31
001322500,0.344900,0.186500,705,2457561.629100,30
001325000,0.391600,0.182300,742,2080454.350100,39
001327500,0.384500,0.170500,803,2387642.087600,36
001330000,0.358300,0.202000,720,2194713.922600,34
001332500,0.392400,0.175000,803,1870162.188700,38
001335000,0.405600,0.205200,685,1911884.591200,44
001337500,0.396800,0.191900,755,2125509.708100,41
001340000,0.395300,0.179200,724,2002996.602900,39
001342500,0.380700,0.202900,708,2039641.894700,39
001345000,0.416900,0.215000,676,1892058.731900,48
001347500,0.376200,0.203800,649,1830996.914600,38
001350000,0.411000,0.195000,754,1905954.232100,44
001352500,0.371500,0.176000,767,2276411.339600,34
001355000,0.401800,0.187100,738,2131354.449500,42
001357500,0.364100,0.172300,806,2295361.564100,32
001360000,0.372700,0.189000,735,2406275.936300,36
001362500,0.373300,0.188500,749,2215712.092900,36
001365000,0.382100,0.195000,734,2133893.054700,38
001367500,0.373100,0.172100,768,2075924.825200,34
001370000,0.356200,0.193100,701,2214284.045500,32
001372500,0.397600,0.187500,752,1951888.671300,40
001375000,0.361300,0.171700,755,2094902.520500,32
001377500,0.418000,0.190000,767,1789423.647200,45
001380000,0.404900,0.197800,748,2195759.798200,43
001382500,0.383700,0.175500,770,2287756.305200,36
001385000,0.415500,0.217000,658,1670628.831600,48
001387500,0.383000,0.189100,706,2172677.105700,38
001390000,0.385300,0.168900,794,2128294.762400,36
