map,county_splitting,district_splitting,counties_split,county_splits,splitting
002340000,1.340700,2.374100,49,67,4
002342500,1.357800,2.332800,49,66,1
002345000,1.355800,2.270200,43,60,2
002347500,1.350000,2.283000,44,62,2
002350000,1.365400,2.349000,47,61,0
002352500,1.361400,2.389400,51,67,0
002355000,1.370400,2.363900,46,65,0
002357500,1.391700,2.380200,47,67,0
002360000,1.364900,2.316000,45,60,0
002362500,1.310700,2.251000,46,60,8
002365000,1.340800,2.261700,43,56,4
002367500,1.348800,2.356900,49,60,2
002370000,1.333900,2.426200,54,67,4
002372500,1.350100,2.304100,45,62,2
002375000,1.331700,2.345200,50,62,5
002377500,1.366400,2.266000,43,57,0
002380000,1.344100,2.373800,50,64,3
002382500,1.348100,2.350100,46,67,2
002385000,1.354200,2.302700,47,62,2
002387500,1.345200,2.318000,47,64,3
002390000,1.377600,2.435100,53,66,0
002392500,1.349300,2.327600,44,60,2
002395000,1.386900,2.327900,43,59,0
002397500,1.354800,2.286000,44,54,2
002400000,1.343600,2.263000,44,61,3
002402500,1.355700,2.238200,45,57,2
002405000,1.306700,2.279100,47,58,8
002407500,1.321200,2.299500,46,60,6
002410000,1.347400,2.278300,46,59,2
002412500,1.366400,2.346900,50,63,0
002415000,1.368000,2.319900,47,60,0
002417500,1.378200,2.373000,50,63,0
002420000,1.330500,2.290800,47,67,5
002422500,1.376400,2.352500,48,62,0
002425000,1.338700,2.287100,47,63,4
002427500,1.333700,2.309600,50,63,4
002430000,1.375300,2.433500,51,68,0
002432500,1.335600,2.274400,46,61,4
002435000,1.375900,2.419400,52,70,0
002437500,1.329900,2.261200,44,61,5
002440000,1.344700,2.366900,49,65,3
002442500,1.355300,2.244200,42,61,2
002445000,1.350000,2.393900,51,63,2
002447500,1.344900,2.321500,47,59,3
002450000,1.336400,2.376200,53,69,4
002452500,1.304900,2.182400,42,53,9
002455000,1.348700,2.334200,49,60,2
002457500,1.395000,2.465800,53,71,0
002460000,1.330300,2.315300,47,62,5
002462500,1.349100,2.399900,50,64,2
002465000,1.348600,2.312300,49,62,2
002467500,1.300600,2.243700,45,59,10
002470000,1.333200,2.324900,49,61,4
002472500,1.360400,2.339100,49,61,0
002475000,1.371800,2.439600,52,69,0
002477500,1.382700,2.424400,49,69,0
002480000,1.338000,2.231800,44,58,4
002482500,1.355400,2.395600,50,68,2
002485000,1.332700,2.285600,46,57,4
002487500,1.339900,2.382400,53,67,4
002490000,1.340700,2.322500,48,64,4
002492500,1.338100,2.284100,45,63,4
002495000,1.331600,2.313900,50,61,5
002497500,1.350500,2.420300,51,63,2
002500000,1.338100,2.210400,41,55,4
