name,population_deviation,estimated_vote_pct,pr_deviation,estimated_seats,fptp_seats,disproportionality,efficiency_gap_wasted_votes,efficiency_gap_statewide,efficiency_gap,seats_bias,votes_bias,geometric_seats_bias,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_district_count,competitive_districts,average_margin,responsiveness,responsive_districts,overall_responsiveness,proportionality,competitiveness,mmd_black,mmd_hispanic,mmd_coalition,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,reock,polsby_popper,cut_score,population_compactness,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
0075,0.009200,0.494300,0.030200,6.577100,6,0.024500,0.057900,0.060100,0.018900,0.013800,0.004400,0.013100,1.533700,0.021600,0.021500,0.000100,-0.002100,2,3.229900,0.083500,2.714800,3.229900,5.330500,88,31,0,0,0,0.658400,5,8.264300,5,56,0.412000,0.287600,651,1919324.427400,56,1.238600,1.601500,16,19,18
0076,0.009400,0.494300,0.040700,6.430700,6,0.035000,0.059000,0.060100,0.029300,0.026500,0.009500,0.025900,3.701900,0.027900,0.028500,-0.000600,0.004000,1,2.746400,0.091000,2.369700,2.746400,7.174700,83,26,0,0,0,0.993900,5,8.063200,5,60,0.412600,0.288300,657,1916440.496100,56,1.235700,1.599300,16,19,19
0077,0.009400,0.494300,0.039800,6.443300,6,0.034100,0.059000,0.060100,0.028400,0.025300,0.008900,0.024700,3.662600,0.027900,0.028800,-0.000900,0.004100,1,2.794400,0.090700,2.409000,2.794400,7.016900,83,27,0,0,0,0.993900,5,8.215500,5,60,0.402800,0.297500,635,1878493.043000,55,1.233500,1.596700,16,19,20
0078,0.009400,0.494300,0.039800,6.443300,6,0.034100,0.059000,0.060100,0.028400,0.025300,0.008900,0.024700,3.662600,0.027900,0.028800,-0.000900,0.004100,1,2.794400,0.090700,2.409000,2.794400,7.016900,83,27,0,0,0,0.993900,5,8.215500,5,60,0.402800,0.297500,635,1878493.043000,55,1.233500,1.596700,16,19,20
0079,0.009400,0.494300,0.039500,6.447300,6,0.033800,0.059400,0.060100,0.028100,0.024900,0.008700,0.024200,3.621700,0.026800,0.027800,-0.001000,0.004100,1,2.840600,0.090500,2.442900,2.840600,6.966000,83,27,0,0,0,0.977200,5,8.220800,5,60,0.389100,0.287600,650,1911295.726700,52,1.232300,1.580900,15,18,22
0080,0.009400,0.494300,0.041100,6.425200,6,0.035400,0.059400,0.060100,0.029700,0.026200,0.009000,0.025500,3.830700,0.026800,0.027800,-0.000900,0.004600,1,2.914400,0.090500,2.497600,2.914400,7.244700,82,28,0,0,0,0.975900,5,8.220600,5,60,0.396400,0.299300,638,1906112.847200,54,1.231400,1.562700,14,17,24
0081,0.009500,0.494300,0.074100,5.962600,5,0.068400,0.126800,0.131500,0.062800,0.056300,0.015500,0.055500,8.368400,0.026800,0.027100,-0.000200,0.014700,2,3.655600,0.090200,2.918800,3.655600,13.074200,66,35,0,0,0,0.976600,5,8.249700,5,60,0.386200,0.295800,629,1902176.423900,52,1.231300,1.540700,14,17,26
0082,0.009500,0.494300,0.074300,5.959600,5,0.068600,0.125900,0.131500,0.063000,0.056500,0.015700,0.055800,8.280200,0.026800,0.026800,0.000100,0.014200,2,3.644100,0.090200,2.909600,3.644100,13.112300,66,35,0,0,0,1.040300,5,8.240900,5,60,0.388800,0.297000,625,1907275.967800,52,1.231200,1.540500,14,17,26
0083,0.009500,0.494300,0.074400,5.958100,5,0.068800,0.125900,0.131500,0.063100,0.056700,0.015700,0.056000,8.323500,0.026800,0.026800,0.000000,0.014300,2,3.638500,0.090400,2.905200,3.638500,13.131100,66,35,0,0,0,1.021700,5,8.190400,5,60,0.388600,0.296600,628,1905908.926500,52,1.230900,1.540000,14,17,26
0084,0.009500,0.494300,0.105800,5.519200,4,0.100100,0.198100,0.203000,0.094400,0.084600,0.019000,0.083600,12.154500,0.026800,0.027100,-0.000200,0.023000,3,4.400700,0.082400,3.356800,4.400700,18.662800,50,42,0,0,0,1.009200,5,8.225100,5,60,0.394800,0.296100,629,1860412.454700,54,1.225000,1.560100,15,17,25
0085,0.009500,0.494300,0.105800,5.519200,4,0.100100,0.198100,0.203000,0.094400,0.084600,0.019000,0.083600,12.154500,0.026800,0.027100,-0.000200,0.023000,3,4.400700,0.082400,3.356800,4.400700,18.662800,50,42,0,0,0,1.009200,5,8.225100,5,60,0.394800,0.296100,629,1860412.454700,54,1.225000,1.560100,15,17,25
0086,0.009500,0.494300,0.105900,5.517100,4,0.100300,0.198000,0.203000,0.094600,0.084800,0.019100,0.083900,12.202800,0.027500,0.027700,-0.000200,0.023100,3,4.369200,0.082500,3.333500,4.369200,18.689500,50,42,0,0,0,1.018400,5,8.223400,5,60,0.400900,0.309400,620,1834714.980200,56,1.224900,1.559000,15,17,25
0087,0.009500,0.494300,0.105600,5.521300,4,0.100000,0.198500,0.203000,0.094300,0.084400,0.019000,0.083500,12.176800,0.027500,0.027900,-0.000400,0.023200,3,4.385300,0.082300,3.346300,4.385300,18.636100,50,42,0,0,0,0.980900,5,8.240700,5,60,0.400700,0.315300,612,1833464.678900,57,1.224900,1.559000,15,17,25
0088,0.009400,0.494300,0.107000,5.501700,4,0.101400,0.198500,0.203000,0.095700,0.085700,0.019000,0.084700,12.356100,0.027500,0.027900,-0.000400,0.023500,3,4.404400,0.082300,3.356600,4.404400,18.883200,49,42,0,0,0,0.980700,5,8.252100,5,60,0.398200,0.315900,608,1828949.817500,56,1.224900,1.559000,15,17,25
0089,0.009400,0.494300,0.107200,5.498800,4,0.101600,0.198500,0.203000,0.095900,0.085800,0.019000,0.084800,12.348400,0.027500,0.027800,-0.000300,0.023500,3,4.416000,0.082200,3.374200,4.416000,18.920000,49,42,0,0,0,0.983500,5,8.251500,5,60,0.393000,0.321100,602,1834871.625500,56,1.224900,1.559000,15,17,25
0090,0.009400,0.494300,0.065100,6.088600,5,0.059400,0.127000,0.131500,0.053800,0.040900,0.008900,0.040200,4.795800,0.004700,0.004300,0.000400,0.005000,4,5.256500,0.070800,4.011900,5.256500,11.486500,70,50,0,0,0,0.815900,5,8.730000,5,58,0.369300,0.315200,608,1865484.043200,51,1.233800,1.585100,15,17,21
0091,0.009400,0.494300,0.065100,6.088600,5,0.059400,0.127000,0.131500,0.053800,0.040900,0.008900,0.040200,4.795800,0.004700,0.004300,0.000400,0.005000,4,5.256500,0.070800,4.011900,5.256500,11.486500,70,50,0,0,0,0.815900,5,8.730000,5,58,0.369300,0.315200,608,1865484.043200,51,1.233800,1.585100,15,17,21
0092,0.009400,0.494300,0.065800,6.078600,5,0.060100,0.128100,0.131500,0.054500,0.042100,0.009400,0.041400,5.276800,0.004700,0.004600,0.000100,0.006500,4,5.189500,0.073000,3.944300,5.189500,11.612600,70,49,0,0,0,0.880800,5,8.657100,5,59,0.362800,0.307900,606,1853780.685000,48,1.230800,1.584900,15,17,22
0093,0.009300,0.494300,0.062400,6.126800,6,0.056700,0.060600,0.060100,0.051000,0.039000,0.008900,0.038400,4.906600,0.004400,0.004300,0.000100,0.005600,4,5.136200,0.073100,3.915500,5.136200,11.005400,72,49,0,0,0,0.881600,5,8.608600,5,59,0.358100,0.304000,614,1895286.847700,47,1.234700,1.592600,15,17,20
0094,0.008900,0.494300,0.060900,6.147100,6,0.055300,0.060600,0.060100,0.049600,0.037600,0.008600,0.037100,4.752400,0.003000,0.003000,0.000100,0.005300,4,5.144500,0.073100,3.920900,5.144500,10.750000,72,49,0,0,0,0.894600,5,8.579000,5,59,0.360300,0.301600,620,1892649.098400,47,1.234700,1.592600,15,17,20
0095,0.008900,0.494300,0.061800,6.135000,6,0.056100,0.059900,0.060100,0.050500,0.039600,0.009400,0.039000,5.016400,0.003000,0.002900,0.000100,0.005900,4,4.898600,0.074600,3.728800,4.898600,10.901900,72,47,0,0,0,1.062800,5,8.484900,5,60,0.339100,0.279600,640,2103791.513300,40,1.237700,1.614600,16,18,18
0096,0.009100,0.494300,0.045300,6.365100,6,0.039700,0.058700,0.060100,0.034000,0.018700,0.003900,0.018300,1.996700,0.003000,0.002400,0.000600,-0.001700,5,6.027600,0.065500,4.605000,6.027600,8.001400,80,57,0,0,0,0.828200,5,9.097100,5,58,0.319900,0.268900,652,2122539.167500,35,1.239600,1.617200,16,18,18
0097,0.009100,0.494300,0.047400,6.336600,6,0.041700,0.058700,0.060100,0.036100,0.020300,0.004200,0.020000,2.294700,0.003000,0.002600,0.000400,-0.000900,5,6.137200,0.065700,4.732500,6.137200,8.361500,79,58,0,0,0,0.824000,5,8.985600,5,58,0.334900,0.259500,661,2113776.323600,37,1.238900,1.616200,16,18,18
0098,0.009100,0.494300,0.048600,6.320300,6,0.042900,0.058700,0.060100,0.037200,0.021400,0.004400,0.021100,2.403800,0.004100,0.003700,0.000500,-0.000600,5,6.131600,0.065700,4.728900,6.131600,8.567000,79,58,0,0,0,0.807400,5,9.024600,5,58,0.330000,0.257200,657,2118534.746700,36,1.238900,1.616300,16,18,18
0099,0.009100,0.494300,0.048600,6.320300,6,0.042900,0.058700,0.060100,0.037200,0.021400,0.004400,0.021100,2.403800,0.004100,0.003700,0.000500,-0.000600,5,6.131600,0.065700,4.728900,6.131600,8.567000,79,58,0,0,0,0.807400,5,9.024600,5,58,0.330000,0.257200,657,2118534.746700,36,1.238900,1.616300,16,18,18
